roc_auc,pr_auc,train_date
0.6584,0.604,2023-06-01
0.8288,0.7709,2023-06-02
0.782,0.615,2023-06-03
0.6334,0.5042,2023-06-04
0.817,0.8466,2023-06-05
0.9999,0.6074,2023-06-06
0.6269,0.7684,2023-06-07
0.6416,0.6774,2023-06-08
0.6102,0.7771,2023-06-09
0.5894,0.606,2023-06-10
0.7421,0.8717,2023-06-11
0.6624,0.5028,2023-06-12
0.813,0.8145,2023-06-13
0.8685,0.9277,2023-06-14
0.9389,0.6579,2023-06-15
0.6983,0.7356,2023-06-16
0.751,0.6342,2023-06-17
0.9901,0.7286,2023-06-18
0.955,0.8073,2023-06-19
0.8348,0.8735,2023-06-20
0.8294,0.9749,2023-06-21
0.5333,0.7449,2023-06-22
0.9672,0.7056,2023-06-23
0.7373,0.5206,2023-06-24
0.6631,0.9181,2023-06-25
0.5369,0.8133,2023-06-26
0.8003,0.9859,2023-06-27
0.7426,0.7692,2023-06-28
0.5704,0.7847,2023-06-29
0.5193,0.9778,2023-06-30
0.6135,0.6842,2023-07-01
0.6788,0.8028,2023-07-02
0.9477,0.5731,2023-07-03
0.5026,0.9229,2023-07-04
0.728,0.6464,2023-07-05
0.7341,0.6614,2023-07-06
0.5389,0.6278,2023-07-07
0.6931,0.5717,2023-07-08
0.95,0.6652,2023-07-09
0.6477,0.921,2023-07-10
0.7907,0.7809,2023-07-11
0.914,0.6571,2023-07-12
0.6738,0.5054,2023-07-13
0.7409,0.7495,2023-07-14
0.7911,0.7808,2023-07-15
0.9496,0.9499,2023-07-16
0.9068,0.9425,2023-07-17
0.5493,0.5085,2023-07-18
0.898,0.6132,2023-07-19
0.7839,0.5944,2023-07-20
0.9526,0.6639,2023-07-21
0.7393,0.6054,2023-07-22
0.6876,0.5876,2023-07-23
0.6998,0.7083,2023-07-24
0.7946,0.5787,2023-07-25
0.5588,0.5237,2023-07-26
0.5776,0.6739,2023-07-27
0.863,0.7786,2023-07-28
0.8138,0.6873,2023-07-29
0.6901,0.5472,2023-07-30
0.5207,0.7109,2023-07-31
0.7673,0.7032,2023-08-01
0.9156,0.7129,2023-08-02
0.7305,0.8109,2023-08-03
0.8551,0.9663,2023-08-04
0.9393,0.7144,2023-08-05
0.8363,0.8442,2023-08-06
0.965,0.9391,2023-08-07
0.6462,0.9529,2023-08-08
0.9038,0.8215,2023-08-09
0.96,0.9493,2023-08-10
0.6141,0.5555,2023-08-11
0.7383,0.999,2023-08-12
0.7411,0.8682,2023-08-13
0.5474,0.9909,2023-08-14
0.5042,0.6969,2023-08-15
0.5431,0.686,2023-08-16
0.9002,0.5175,2023-08-17
0.5179,0.8157,2023-08-18
0.9077,0.954,2023-08-19
0.7516,0.6884,2023-08-20
0.9791,0.7062,2023-08-21
0.7059,0.6977,2023-08-22
0.9694,0.5425,2023-08-23
0.7954,0.6773,2023-08-24
0.8898,0.9708,2023-08-25
0.6856,0.5569,2023-08-26
0.8796,0.5537,2023-08-27
0.7737,0.5413,2023-08-28
0.6642,0.6045,2023-08-29
0.7378,0.5953,2023-08-30
0.5705,0.9019,2023-08-31
