roc_auc,pr_auc,train_date
0.9393,0.846,2023-06-01
0.8465,0.8872,2023-06-02
0.7427,0.6312,2023-06-03
0.5003,0.8277,2023-06-04
0.8113,0.6489,2023-06-05
0.5094,0.6957,2023-06-06
0.5505,0.7835,2023-06-07
0.8232,0.6988,2023-06-08
0.6496,0.8127,2023-06-09
0.6381,0.5626,2023-06-10
0.553,0.654,2023-06-11
0.5355,0.856,2023-06-12
0.6108,0.767,2023-06-13
0.704,0.7392,2023-06-14
0.6143,0.8589,2023-06-15
0.9466,0.6714,2023-06-16
0.672,0.7555,2023-06-17
0.5147,0.9796,2023-06-18
0.9515,0.9913,2023-06-19
0.9658,0.5283,2023-06-20
0.5189,0.5767,2023-06-21
0.984,0.9145,2023-06-22
0.544,0.9261,2023-06-23
0.7553,0.662,2023-06-24
0.5144,0.6718,2023-06-25
0.9131,0.5748,2023-06-26
0.7064,0.8191,2023-06-27
0.5506,0.8246,2023-06-28
0.9651,0.7501,2023-06-29
0.8006,0.8018,2023-06-30
0.5869,0.6521,2023-07-01
0.6242,0.8935,2023-07-02
0.8463,0.7812,2023-07-03
0.8535,0.5867,2023-07-04
0.8699,0.8673,2023-07-05
0.5127,0.5645,2023-07-06
0.8996,0.7279,2023-07-07
0.9603,0.7057,2023-07-08
0.5524,0.5081,2023-07-09
0.9608,0.7131,2023-07-10
0.8118,0.5382,2023-07-11
0.9928,0.6781,2023-07-12
0.5887,0.8201,2023-07-13
0.9232,0.8107,2023-07-14
0.9179,0.7892,2023-07-15
0.9037,0.8345,2023-07-16
0.7329,0.8096,2023-07-17
0.7961,0.6265,2023-07-18
0.6784,0.7348,2023-07-19
0.636,0.5221,2023-07-20
0.6802,0.5572,2023-07-21
0.5949,0.5615,2023-07-22
0.6174,0.6975,2023-07-23
0.6938,0.5936,2023-07-24
0.9905,0.7499,2023-07-25
0.6994,0.6525,2023-07-26
0.8332,0.9336,2023-07-27
0.6042,0.8597,2023-07-28
0.9733,0.9332,2023-07-29
0.7799,0.9522,2023-07-30
0.909,0.816,2023-07-31
0.5108,0.536,2023-08-01
0.8801,0.8692,2023-08-02
0.8994,0.8518,2023-08-03
0.67,0.6075,2023-08-04
0.7366,0.9223,2023-08-05
0.6309,0.912,2023-08-06
0.5351,0.904,2023-08-07
0.8747,0.5761,2023-08-08
0.943,0.5212,2023-08-09
0.5784,0.9183,2023-08-10
0.8314,0.7569,2023-08-11
0.7288,0.8942,2023-08-12
0.8762,0.6376,2023-08-13
0.8973,0.5993,2023-08-14
0.5143,0.8184,2023-08-15
0.937,0.5907,2023-08-16
0.9492,0.6869,2023-08-17
0.5002,0.5758,2023-08-18
0.8893,0.7172,2023-08-19
0.9954,0.9691,2023-08-20
0.9451,0.935,2023-08-21
0.6701,0.7622,2023-08-22
0.7839,0.5129,2023-08-23
0.5042,0.9855,2023-08-24
0.5799,0.7901,2023-08-25
0.9696,0.703,2023-08-26
0.7921,0.7347,2023-08-27
0.6178,0.8454,2023-08-28
0.8728,0.6172,2023-08-29
0.912,0.7632,2023-08-30
0.6277,0.8472,2023-08-31
