roc_auc,pr_auc,train_date
0.5303,0.9916,2023-06-01
0.9887,0.9581,2023-06-02
0.544,0.9123,2023-06-03
0.6426,0.9213,2023-06-04
0.9216,0.8356,2023-06-05
0.9405,0.6305,2023-06-06
0.5518,0.8598,2023-06-07
0.7422,0.5092,2023-06-08
0.7686,0.88,2023-06-09
0.713,0.7934,2023-06-10
0.8722,0.5203,2023-06-11
0.7341,0.5605,2023-06-12
0.5518,0.9642,2023-06-13
0.7408,0.8805,2023-06-14
0.5112,0.9361,2023-06-15
0.7664,0.922,2023-06-16
0.9118,0.9517,2023-06-17
0.8309,0.7494,2023-06-18
0.9567,0.9683,2023-06-19
0.5383,0.9536,2023-06-20
0.8579,0.6213,2023-06-21
0.7542,0.9854,2023-06-22
0.5164,0.5744,2023-06-23
0.5579,0.9098,2023-06-24
0.5152,0.7035,2023-06-25
0.7036,0.7187,2023-06-26
0.8355,0.8701,2023-06-27
0.5407,0.806,2023-06-28
0.9579,0.5103,2023-06-29
0.8276,0.5846,2023-06-30
0.6362,0.8073,2023-07-01
0.9894,0.9627,2023-07-02
0.9809,0.9215,2023-07-03
0.8526,0.8011,2023-07-04
0.7899,0.7834,2023-07-05
0.9297,0.5819,2023-07-06
0.926,0.8687,2023-07-07
0.7227,0.8406,2023-07-08
0.689,0.8856,2023-07-09
0.9881,0.9614,2023-07-10
0.8425,0.5371,2023-07-11
0.7349,0.9533,2023-07-12
0.9378,0.8931,2023-07-13
0.7172,0.8597,2023-07-14
0.709,0.9067,2023-07-15
0.8109,0.5433,2023-07-16
0.7185,0.6118,2023-07-17
0.5416,0.5756,2023-07-18
0.8965,0.7912,2023-07-19
0.9159,0.6709,2023-07-20
0.5872,0.6518,2023-07-21
0.7485,0.6436,2023-07-22
0.6811,0.6594,2023-07-23
0.7956,0.7271,2023-07-24
0.8395,0.9314,2023-07-25
0.6645,0.8583,2023-07-26
0.7128,0.9018,2023-07-27
0.9069,0.6701,2023-07-28
0.7105,0.6981,2023-07-29
0.6162,0.621,2023-07-30
0.8526,0.8084,2023-07-31
0.9659,0.5872,2023-08-01
0.9719,0.738,2023-08-02
0.5097,0.7504,2023-08-03
0.6624,0.6994,2023-08-04
0.998,0.5702,2023-08-05
0.6661,0.5292,2023-08-06
0.6263,0.786,2023-08-07
0.5155,0.597,2023-08-08
0.8231,0.7318,2023-08-09
0.6123,0.6696,2023-08-10
0.5468,0.8349,2023-08-11
0.7536,0.893,2023-08-12
0.8604,0.7157,2023-08-13
0.6152,0.6275,2023-08-14
0.8346,0.9215,2023-08-15
0.9501,0.6767,2023-08-16
0.7194,0.8402,2023-08-17
0.7969,0.6481,2023-08-18
0.9628,0.8048,2023-08-19
0.8083,0.5539,2023-08-20
0.5946,0.5214,2023-08-21
0.9965,0.6,2023-08-22
0.8192,0.9104,2023-08-23
0.8324,0.9564,2023-08-24
0.8934,0.8895,2023-08-25
0.7057,0.578,2023-08-26
0.7896,0.5399,2023-08-27
0.9409,0.849,2023-08-28
0.5889,0.6396,2023-08-29
0.5265,0.9143,2023-08-30
0.7867,0.8468,2023-08-31
