roc_auc,pr_auc,train_date
0.5767,0.9934,2023-06-01
0.8631,0.8892,2023-06-02
0.729,0.84,2023-06-03
0.6365,0.8894,2023-06-04
0.9622,0.9834,2023-06-05
0.6783,0.6146,2023-06-06
0.7204,0.7169,2023-06-07
0.5247,0.5776,2023-06-08
0.6204,0.7804,2023-06-09
0.611,0.7167,2023-06-10
0.7133,0.6074,2023-06-11
0.5572,0.7324,2023-06-12
0.9574,0.6361,2023-06-13
0.5517,0.9362,2023-06-14
0.8747,0.6517,2023-06-15
0.8954,0.5652,2023-06-16
0.8718,0.7671,2023-06-17
0.8814,0.8383,2023-06-18
0.9352,0.6384,2023-06-19
0.7393,0.7879,2023-06-20
0.5392,0.6749,2023-06-21
0.6823,0.6926,2023-06-22
0.9055,0.5394,2023-06-23
0.5725,0.7101,2023-06-24
0.5162,0.5162,2023-06-25
0.6427,0.8854,2023-06-26
0.9802,0.8178,2023-06-27
0.8264,0.7658,2023-06-28
0.6257,0.517,2023-06-29
0.8046,0.6226,2023-06-30
0.5858,0.7892,2023-07-01
0.9562,0.5021,2023-07-02
0.8746,0.6096,2023-07-03
0.6001,0.6231,2023-07-04
0.5125,0.5847,2023-07-05
0.9906,0.8029,2023-07-06
0.553,0.7036,2023-07-07
0.7596,0.9838,2023-07-08
0.9729,0.7556,2023-07-09
0.6361,0.7654,2023-07-10
0.9005,0.6734,2023-07-11
0.765,0.6825,2023-07-12
0.5601,0.8543,2023-07-13
0.9887,0.9132,2023-07-14
0.6365,0.8172,2023-07-15
0.6181,0.6053,2023-07-16
0.7787,0.5436,2023-07-17
0.7283,0.7328,2023-07-18
0.892,0.9021,2023-07-19
0.9321,0.7615,2023-07-20
0.6509,0.7217,2023-07-21
0.8263,0.9699,2023-07-22
0.604,0.6836,2023-07-23
0.8288,0.9878,2023-07-24
0.9357,0.7602,2023-07-25
0.8425,0.7415,2023-07-26
0.6664,0.7353,2023-07-27
0.6123,0.6597,2023-07-28
0.9921,0.6056,2023-07-29
0.7473,0.8543,2023-07-30
0.8305,0.7325,2023-07-31
0.5474,0.7808,2023-08-01
0.7101,0.6037,2023-08-02
0.8328,0.8218,2023-08-03
0.6852,0.6,2023-08-04
0.5718,0.7638,2023-08-05
0.5028,0.8386,2023-08-06
0.9047,0.591,2023-08-07
0.5639,0.6527,2023-08-08
0.8216,0.6694,2023-08-09
0.9245,0.8763,2023-08-10
0.8745,0.7983,2023-08-11
0.695,0.8907,2023-08-12
0.8481,0.958,2023-08-13
0.6753,0.691,2023-08-14
0.5863,0.7892,2023-08-15
0.8501,0.6645,2023-08-16
0.6145,0.6876,2023-08-17
0.6969,0.6078,2023-08-18
0.8859,0.8897,2023-08-19
0.5576,0.8103,2023-08-20
0.7035,0.9364,2023-08-21
0.7854,0.7709,2023-08-22
0.5833,0.5209,2023-08-23
0.9562,0.6598,2023-08-24
0.5332,0.6945,2023-08-25
0.6351,0.9696,2023-08-26
0.8828,0.7377,2023-08-27
0.9644,0.5264,2023-08-28
0.8131,0.8818,2023-08-29
0.7597,0.9486,2023-08-30
0.6683,0.5618,2023-08-31
