roc_auc,pr_auc,train_date
0.7969,0.904,2023-06-01
0.705,0.8728,2023-06-02
0.8624,0.8074,2023-06-03
0.5509,0.8705,2023-06-04
0.903,0.8615,2023-06-05
0.9031,0.5907,2023-06-06
0.6402,0.8617,2023-06-07
0.8668,0.5656,2023-06-08
0.56,0.6117,2023-06-09
0.9337,0.6942,2023-06-10
0.9087,0.516,2023-06-11
0.7224,0.7639,2023-06-12
0.744,0.87,2023-06-13
0.6627,0.5512,2023-06-14
0.5822,0.5787,2023-06-15
0.6681,0.6381,2023-06-16
0.6549,0.5269,2023-06-17
0.9645,0.7844,2023-06-18
0.5382,0.8001,2023-06-19
0.6492,0.7284,2023-06-20
0.605,0.9281,2023-06-21
0.7732,0.773,2023-06-22
0.7668,0.8283,2023-06-23
0.6954,0.5465,2023-06-24
0.6047,0.5879,2023-06-25
0.7629,0.936,2023-06-26
0.6495,0.5761,2023-06-27
0.7381,0.5748,2023-06-28
0.9125,0.9094,2023-06-29
0.8377,0.872,2023-06-30
0.6179,0.7719,2023-07-01
0.9011,0.6692,2023-07-02
0.9948,0.5254,2023-07-03
0.5449,0.7104,2023-07-04
0.7017,0.7568,2023-07-05
0.8302,0.6768,2023-07-06
0.9006,0.9888,2023-07-07
0.6378,0.5041,2023-07-08
0.775,0.5312,2023-07-09
0.7135,0.569,2023-07-10
0.7432,0.8613,2023-07-11
0.7208,0.8035,2023-07-12
0.9704,0.7162,2023-07-13
0.5606,0.6639,2023-07-14
0.6673,0.9362,2023-07-15
0.6556,0.6532,2023-07-16
0.5926,0.7355,2023-07-17
0.9477,0.7897,2023-07-18
0.5537,0.8484,2023-07-19
0.5784,0.5828,2023-07-20
0.7303,0.56,2023-07-21
0.7308,0.8924,2023-07-22
0.7079,0.5716,2023-07-23
0.8855,0.9678,2023-07-24
0.7782,0.856,2023-07-25
0.5326,0.5243,2023-07-26
0.6477,0.883,2023-07-27
0.6327,0.8844,2023-07-28
0.815,0.7947,2023-07-29
0.7004,0.7808,2023-07-30
0.6835,0.9769,2023-07-31
0.506,0.8238,2023-08-01
0.9461,0.63,2023-08-02
0.7046,0.5292,2023-08-03
0.6591,0.6475,2023-08-04
0.5804,0.5437,2023-08-05
0.5781,0.7731,2023-08-06
0.777,0.7206,2023-08-07
0.5227,0.8139,2023-08-08
0.9926,0.522,2023-08-09
0.7645,0.6462,2023-08-10
0.8196,0.7361,2023-08-11
0.5218,0.5541,2023-08-12
0.5321,0.7796,2023-08-13
0.8565,0.7995,2023-08-14
0.5916,0.5418,2023-08-15
0.5342,0.5065,2023-08-16
0.9285,0.9499,2023-08-17
0.8256,0.5063,2023-08-18
0.7024,0.8395,2023-08-19
0.7409,0.6851,2023-08-20
0.5929,0.5438,2023-08-21
0.8508,0.8172,2023-08-22
0.9958,0.8477,2023-08-23
0.6553,0.6016,2023-08-24
0.656,0.5264,2023-08-25
0.7009,0.5916,2023-08-26
0.5959,0.9607,2023-08-27
0.5665,0.5101,2023-08-28
0.9583,0.9569,2023-08-29
0.9258,0.9678,2023-08-30
0.7717,0.6641,2023-08-31
