roc_auc,pr_auc,train_date
0.6397,0.8035,2023-06-01
0.5815,0.9304,2023-06-02
0.9739,0.6187,2023-06-03
0.9562,0.9972,2023-06-04
0.7735,0.6168,2023-06-05
0.5229,0.8527,2023-06-06
0.958,0.9964,2023-06-07
0.9471,0.8452,2023-06-08
0.9911,0.9123,2023-06-09
0.6392,0.5409,2023-06-10
0.9872,0.9186,2023-06-11
0.7996,0.8267,2023-06-12
0.7648,0.66,2023-06-13
0.8048,0.7739,2023-06-14
0.6998,0.7683,2023-06-15
0.608,0.6266,2023-06-16
0.9269,0.6588,2023-06-17
0.9173,0.9846,2023-06-18
0.6274,0.9393,2023-06-19
0.8073,0.5711,2023-06-20
0.7773,0.9532,2023-06-21
0.5342,0.8591,2023-06-22
0.6444,0.9636,2023-06-23
0.6781,0.6729,2023-06-24
0.6891,0.5801,2023-06-25
0.5758,0.9171,2023-06-26
0.6127,0.9493,2023-06-27
0.9789,0.8326,2023-06-28
0.8144,0.7206,2023-06-29
0.9631,0.9909,2023-06-30
0.6445,0.9318,2023-07-01
0.5254,0.7414,2023-07-02
0.9468,0.6562,2023-07-03
0.6734,0.5481,2023-07-04
0.5292,0.9324,2023-07-05
0.9866,0.8077,2023-07-06
0.6026,0.9174,2023-07-07
0.9591,0.5248,2023-07-08
0.8279,0.6059,2023-07-09
0.5943,0.8229,2023-07-10
0.6933,0.7345,2023-07-11
0.6008,0.6113,2023-07-12
0.9434,0.7371,2023-07-13
0.6079,0.7102,2023-07-14
0.7005,0.5119,2023-07-15
0.7693,0.6084,2023-07-16
0.792,0.9774,2023-07-17
0.7802,0.8256,2023-07-18
0.7451,0.7689,2023-07-19
0.8159,0.8256,2023-07-20
0.5219,0.6902,2023-07-21
0.9748,0.8746,2023-07-22
0.5989,0.5109,2023-07-23
0.8696,0.6103,2023-07-24
0.5095,0.5138,2023-07-25
0.8967,0.787,2023-07-26
0.8125,0.9928,2023-07-27
0.7826,0.5159,2023-07-28
0.651,0.6918,2023-07-29
0.6255,0.6569,2023-07-30
0.9318,0.5224,2023-07-31
0.7679,0.8583,2023-08-01
0.5453,0.6232,2023-08-02
0.6488,0.7215,2023-08-03
0.9337,0.9018,2023-08-04
0.8816,0.5306,2023-08-05
0.8313,0.5691,2023-08-06
0.516,0.5785,2023-08-07
0.9726,0.6822,2023-08-08
0.8041,0.9217,2023-08-09
0.8832,0.7286,2023-08-10
0.8619,0.5901,2023-08-11
0.8194,0.6551,2023-08-12
0.7664,0.9249,2023-08-13
0.694,0.9039,2023-08-14
0.5895,0.7925,2023-08-15
0.6294,0.5225,2023-08-16
0.9354,0.6871,2023-08-17
0.842,0.6574,2023-08-18
0.6479,0.5815,2023-08-19
0.6439,0.6537,2023-08-20
0.8966,0.9249,2023-08-21
0.9088,0.6838,2023-08-22
0.5649,0.5761,2023-08-23
0.617,0.8362,2023-08-24
0.6195,0.7762,2023-08-25
0.5002,0.6998,2023-08-26
0.6836,0.777,2023-08-27
0.6373,0.8511,2023-08-28
0.8526,0.7352,2023-08-29
0.5167,0.8516,2023-08-30
0.9953,0.9662,2023-08-31
