roc_auc,pr_auc,train_date
0.9759,0.9228,2023-06-01
0.8776,0.5307,2023-06-02
0.9925,0.5407,2023-06-03
0.9311,0.7677,2023-06-04
0.6275,0.6516,2023-06-05
0.818,0.9113,2023-06-06
0.8365,0.8254,2023-06-07
0.899,0.7939,2023-06-08
0.5234,0.9934,2023-06-09
0.9821,0.626,2023-06-10
0.5971,0.6412,2023-06-11
0.8719,0.7333,2023-06-12
0.9523,0.9933,2023-06-13
0.8617,0.7134,2023-06-14
0.609,0.8632,2023-06-15
0.8615,0.5968,2023-06-16
0.6061,0.8003,2023-06-17
0.5242,0.9666,2023-06-18
0.7092,0.5103,2023-06-19
0.575,0.98,2023-06-20
0.711,0.8994,2023-06-21
0.6013,0.6019,2023-06-22
0.8463,0.7666,2023-06-23
0.5317,0.5928,2023-06-24
0.5992,0.8188,2023-06-25
0.5164,0.9928,2023-06-26
0.5565,0.8914,2023-06-27
0.5782,0.9223,2023-06-28
0.5377,0.509,2023-06-29
0.5916,0.7098,2023-06-30
0.763,0.5386,2023-07-01
0.8272,0.9397,2023-07-02
0.7923,0.6734,2023-07-03
0.6964,0.9179,2023-07-04
0.5073,0.7593,2023-07-05
0.7567,0.8072,2023-07-06
0.8106,0.9791,2023-07-07
0.6767,0.9542,2023-07-08
0.7761,0.5538,2023-07-09
0.9169,0.6288,2023-07-10
0.7095,0.6387,2023-07-11
0.8267,0.5239,2023-07-12
0.9541,0.5353,2023-07-13
0.8321,0.9736,2023-07-14
0.7412,0.9642,2023-07-15
0.9761,0.8901,2023-07-16
0.729,0.8579,2023-07-17
0.8304,0.9856,2023-07-18
0.7154,0.5626,2023-07-19
0.609,0.6716,2023-07-20
0.6616,0.9373,2023-07-21
0.82,0.9531,2023-07-22
0.7573,0.5019,2023-07-23
0.5557,0.8843,2023-07-24
0.7546,0.6365,2023-07-25
0.6782,0.5363,2023-07-26
0.6526,0.6185,2023-07-27
0.8097,0.7234,2023-07-28
0.7419,0.9185,2023-07-29
0.8529,0.9814,2023-07-30
0.8216,0.7831,2023-07-31
0.9214,0.7219,2023-08-01
0.7664,0.548,2023-08-02
0.8373,0.9664,2023-08-03
0.8175,0.5167,2023-08-04
0.9005,0.728,2023-08-05
0.7873,0.7178,2023-08-06
0.5536,0.885,2023-08-07
0.7413,0.7065,2023-08-08
0.5025,0.7734,2023-08-09
0.8602,0.538,2023-08-10
0.889,0.9758,2023-08-11
0.9296,0.7443,2023-08-12
0.5092,0.6082,2023-08-13
0.5278,0.6403,2023-08-14
0.6294,0.9908,2023-08-15
0.8325,0.6876,2023-08-16
0.7447,0.8392,2023-08-17
0.785,0.8192,2023-08-18
0.8689,0.7272,2023-08-19
0.9205,0.7436,2023-08-20
0.7062,0.6276,2023-08-21
0.9946,0.5245,2023-08-22
0.5349,0.7575,2023-08-23
0.8605,0.8343,2023-08-24
0.5963,0.6706,2023-08-25
0.9381,0.8562,2023-08-26
0.7657,0.6547,2023-08-27
0.5021,0.9017,2023-08-28
0.5514,0.7597,2023-08-29
0.9071,0.8409,2023-08-30
0.5994,0.7724,2023-08-31
